Activity,Year,Locality,Frequency,Percentage
PC/computer games (play online),2013,Local,Weekly Participation (multiple),
PC/computer games (play online),2013,Local,Weekly Participation (once),
PC/computer games (play online),2013,Local,Monthly Participation (multiple),
PC/computer games (play online),2013,Local,Monthly Participation (once),
PC/computer games (play online),2014,Local,Participated in the last 12 months,
PC/computer games (play online),2014,Local,Weekly Participation (multiple),
PC/computer games (play online),2014,Local,Weekly Participation (once),
PC/computer games (play online),2014,Local,Monthly Participation (multiple),
PC/computer games (play online),2014,Local,Monthly Participation (once),
PC/computer games (play online),2015,Local,Participated in the last 12 months,
PC/computer games (play online),2015,Local,Weekly Participation (multiple),
PC/computer games (play online),2015,Local,Weekly Participation (once),
PC/computer games (play online),2015,Local,Monthly Participation (multiple),
PC/computer games (play online),2015,Local,Monthly Participation (once),
PC/computer games (play online),2016,Local,Participated in the last 12 months,
PC/computer games (play online),2016,Local,Weekly Participation (multiple),
PC/computer games (play online),2016,Local,Weekly Participation (once),
PC/computer games (play online),2016,Local,Monthly Participation (multiple),
PC/computer games (play online),2016,Local,Monthly Participation (once),
PC/computer games (play online),2017,Local,Participated in the last 12 months,
PC/computer games (play online),2017,Local,Weekly Participation (multiple),
PC/computer games (play online),2017,Local,Weekly Participation (once),
PC/computer games (play online),2017,Local,Monthly Participation (multiple),
PC/computer games (play online),2017,Local,Monthly Participation (once),
PC/computer games (play online),2018,Local,Participated in the last 12 months,11.28
PC/computer games (play online),2018,Local,Weekly Participation (multiple),6.83
PC/computer games (play online),2018,Local,Weekly Participation (once),0.80
PC/computer games (play online),2018,Local,Monthly Participation (multiple),0.71
PC/computer games (play online),2018,Local,Monthly Participation (once),0.32
Photo Album/Scrap book,2010,Local,Participated in the last 12 months,6.70
Photo Album/Scrap book,2010,Local,Weekly Participation (multiple),0.54
Photo Album/Scrap book,2010,Local,Weekly Participation (once),0.33
Photo Album/Scrap book,2010,Local,Monthly Participation (multiple),0.86
Photo Album/Scrap book,2010,Local,Monthly Participation (once),1.02
Photo Album/Scrap book,2011,Local,Participated in the last 12 months,6.13
Photo Album/Scrap book,2011,Local,Weekly Participation (multiple),0.38
Photo Album/Scrap book,2011,Local,Weekly Participation (once),0.39
Photo Album/Scrap book,2011,Local,Monthly Participation (multiple),0.64
Photo Album/Scrap book,2011,Local,Monthly Participation (once),1.04
Photo Album/Scrap book,2012,Local,Participated in the last 12 months,5.46
Photo Album/Scrap book,2012,Local,Weekly Participation (multiple),0.31
Photo Album/Scrap book,2012,Local,Weekly Participation (once),0.28
Photo Album/Scrap book,2012,Local,Monthly Participation (multiple),0.68
Photo Album/Scrap book,2012,Local,Monthly Participation (once),0.74
Photo Album/Scrap book,2013,Local,Participated in the last 12 months,5.75
Photo Album/Scrap book,2013,Local,Weekly Participation (multiple),0.38
Photo Album/Scrap book,2013,Local,Weekly Participation (once),0.27
Photo Album/Scrap book,2013,Local,Monthly Participation (multiple),0.50
Photo Album/Scrap book,2013,Local,Monthly Participation (once),0.88
Photo Album/Scrap book,2014,Local,Participated in the last 12 months,5.20
Photo Album/Scrap book,2014,Local,Weekly Participation (multiple),0.28
Photo Album/Scrap book,2014,Local,Weekly Participation (once),0.24
Photo Album/Scrap book,2014,Local,Monthly Participation (multiple),0.47
Photo Album/Scrap book,2014,Local,Monthly Participation (once),0.84
Photo Album/Scrap book,2015,Local,Participated in the last 12 months,5.02
Photo Album/Scrap book,2015,Local,Weekly Participation (multiple),0.23
Photo Album/Scrap book,2015,Local,Weekly Participation (once),0.28
Photo Album/Scrap book,2015,Local,Monthly Participation (multiple),0.48
Photo Album/Scrap book,2015,Local,Monthly Participation (once),0.68
Photo Album/Scrap book,2016,Local,Participated in the last 12 months,4.19
Photo Album/Scrap book,2016,Local,Weekly Participation (multiple),0.20
Photo Album/Scrap book,2016,Local,Weekly Participation (once),0.18
Photo Album/Scrap book,2016,Local,Monthly Participation (multiple),0.33
Photo Album/Scrap book,2016,Local,Monthly Participation (once),0.57
Photo Album/Scrap book,2017,Local,Participated in the last 12 months,4.25
Photo Album/Scrap book,2017,Local,Weekly Participation (multiple),0.29
Photo Album/Scrap book,2017,Local,Weekly Participation (once),0.16
Photo Album/Scrap book,2017,Local,Monthly Participation (multiple),0.47
Photo Album/Scrap book,2017,Local,Monthly Participation (once),0.41
Photo Album/Scrap book,2018,Local,Participated in the last 12 months,4.07
Photo Album/Scrap book,2018,Local,Weekly Participation (multiple),0.29
Photo Album/Scrap book,2018,Local,Weekly Participation (once),0.35
Photo Album/Scrap book,2018,Local,Monthly Participation (multiple),0.37
Photo Album/Scrap book,2018,Local,Monthly Participation (once),0.45
Photography ,2010,Local,Participated in the last 12 months,11.47
Photography ,2010,Local,Weekly Participation (multiple),1.91
Photography ,2010,Local,Weekly Participation (once),1.45
Photography ,2010,Local,Monthly Participation (multiple),2.34
Photography ,2010,Local,Monthly Participation (once),1.54
Photography ,2011,Local,Participated in the last 12 months,10.37
Photography ,2011,Local,Weekly Participation (multiple),1.77
Photography ,2011,Local,Weekly Participation (once),1.07
Photography ,2011,Local,Monthly Participation (multiple),1.86
Photography ,2011,Local,Monthly Participation (once),1.48
Photography ,2012,Local,Participated in the last 12 months,9.68
Photography ,2012,Local,Weekly Participation (multiple),1.70
Photography ,2012,Local,Weekly Participation (once),1.12
Photography ,2012,Local,Monthly Participation (multiple),1.64
Photography ,2012,Local,Monthly Participation (once),1.57
Photography ,2013,Local,Participated in the last 12 months,10.64
Photography ,2013,Local,Weekly Participation (multiple),2.07
Photography ,2013,Local,Weekly Participation (once),1.09
Photography ,2013,Local,Monthly Participation (multiple),1.97
Photography ,2013,Local,Monthly Participation (once),1.44
Photography ,2014,Local,Participated in the last 12 months,9.81
Photography ,2014,Local,Weekly Participation (multiple),1.97
Photography ,2014,Local,Weekly Participation (once),1.01
Photography ,2014,Local,Monthly Participation (multiple),1.60
Photography ,2014,Local,Monthly Participation (once),1.35
Photography ,2015,Local,Participated in the last 12 months,10.10
Photography ,2015,Local,Weekly Participation (multiple),2.14
Photography ,2015,Local,Weekly Participation (once),1.34
Photography ,2015,Local,Monthly Participation (multiple),1.69
Photography ,2015,Local,Monthly Participation (once),1.13
Photography ,2016,Local,Participated in the last 12 months,10.36
Photography ,2016,Local,Weekly Participation (multiple),2.36
Photography ,2016,Local,Weekly Participation (once),1.08
Photography ,2016,Local,Monthly Participation (multiple),1.52
Photography ,2016,Local,Monthly Participation (once),1.22
Photography ,2017,Local,Participated in the last 12 months,9.62
Photography ,2017,Local,Weekly Participation (multiple),2.48
Photography ,2017,Local,Weekly Participation (once),1.17
Photography ,2017,Local,Monthly Participation (multiple),1.30
Photography ,2017,Local,Monthly Participation (once),1.02
Photography ,2018,Local,Participated in the last 12 months,8.39
Photography ,2018,Local,Weekly Participation (multiple),2.07
Photography ,2018,Local,Weekly Participation (once),1.26
Photography ,2018,Local,Monthly Participation (multiple),1.25
Photography ,2018,Local,Monthly Participation (once),0.95
Picnic ,2010,Remote,Participated in the last 12 months,11.54
Picnic ,2010,Remote,Weekly Participation (multiple),0.12
Picnic ,2010,Remote,Weekly Participation (once),0.26
Picnic ,2010,Remote,Monthly Participation (multiple),0.73
Picnic ,2010,Remote,Monthly Participation (once),1.66
Picnic ,2011,Remote,Participated in the last 12 months,11.19
Picnic ,2011,Remote,Weekly Participation (multiple),0.14
Picnic ,2011,Remote,Weekly Participation (once),0.25
Picnic ,2011,Remote,Monthly Participation (multiple),0.67
Picnic ,2011,Remote,Monthly Participation (once),1.46
Picnic ,2012,Remote,Participated in the last 12 months,10.26
Picnic ,2012,Remote,Weekly Participation (multiple),0.14
Picnic ,2012,Remote,Weekly Participation (once),0.26
Picnic ,2012,Remote,Monthly Participation (multiple),0.77
Picnic ,2012,Remote,Monthly Participation (once),1.55
Picnic ,2013,Remote,Participated in the last 12 months,11.07
Picnic ,2013,Remote,Weekly Participation (multiple),0.25
Picnic ,2013,Remote,Weekly Participation (once),0.29
Picnic ,2013,Remote,Monthly Participation (multiple),0.85
Picnic ,2013,Remote,Monthly Participation (once),1.23
Picnic ,2014,Remote,Participated in the last 12 months,10.42
Picnic ,2014,Remote,Weekly Participation (multiple),0.22
Picnic ,2014,Remote,Weekly Participation (once),0.33
Picnic ,2014,Remote,Monthly Participation (multiple),0.59
Picnic ,2014,Remote,Monthly Participation (once),1.22
Picnic ,2015,Remote,Participated in the last 12 months,10.93
Picnic ,2015,Remote,Weekly Participation (multiple),0.18
Picnic ,2015,Remote,Weekly Participation (once),0.29
Picnic ,2015,Remote,Monthly Participation (multiple),0.64
Picnic ,2015,Remote,Monthly Participation (once),1.38
Picnic ,2016,Remote,Participated in the last 12 months,7.83
Picnic ,2016,Remote,Weekly Participation (multiple),0.17
Picnic ,2016,Remote,Weekly Participation (once),0.29
Picnic ,2016,Remote,Monthly Participation (multiple),0.48
Picnic ,2016,Remote,Monthly Participation (once),0.97
Picnic ,2017,Remote,Participated in the last 12 months,8.18
Picnic ,2017,Remote,Weekly Participation (multiple),0.26
Picnic ,2017,Remote,Weekly Participation (once),0.23
Picnic ,2017,Remote,Monthly Participation (multiple),0.47
Picnic ,2017,Remote,Monthly Participation (once),1.24
Picnic ,2018,Remote,Participated in the last 12 months,8.45
Picnic ,2018,Remote,Weekly Participation (multiple),0.20
Picnic ,2018,Remote,Weekly Participation (once),0.20
Picnic ,2018,Remote,Monthly Participation (multiple),0.51
Picnic ,2018,Remote,Monthly Participation (once),0.90
Play bingo ,2010,Remote,Participated in the last 12 months,4.50
Play bingo ,2010,Remote,Weekly Participation (multiple),0.33
Play bingo ,2010,Remote,Weekly Participation (once),0.48
Play bingo ,2010,Remote,Monthly Participation (multiple),0.36
Play bingo ,2010,Remote,Monthly Participation (once),0.59
Play bingo ,2011,Remote,Participated in the last 12 months,4.15
Play bingo ,2011,Remote,Weekly Participation (multiple),0.28
Play bingo ,2011,Remote,Weekly Participation (once),0.41
Play bingo ,2011,Remote,Monthly Participation (multiple),0.33
Play bingo ,2011,Remote,Monthly Participation (once),0.46
Play bingo ,2012,Remote,Participated in the last 12 months,3.89
Play bingo ,2012,Remote,Weekly Participation (multiple),0.33
Play bingo ,2012,Remote,Weekly Participation (once),0.37
Play bingo ,2012,Remote,Monthly Participation (multiple),0.27
Play bingo ,2012,Remote,Monthly Participation (once),0.19
Play bingo ,2013,Remote,Participated in the last 12 months,4.50
Play bingo ,2013,Remote,Weekly Participation (multiple),0.29
Play bingo ,2013,Remote,Weekly Participation (once),0.37
Play bingo ,2013,Remote,Monthly Participation (multiple),0.23
Play bingo ,2013,Remote,Monthly Participation (once),0.37
Play bingo ,2014,Remote,Participated in the last 12 months,3.81
Play bingo ,2014,Remote,Weekly Participation (multiple),0.28
Play bingo ,2014,Remote,Weekly Participation (once),0.24
Play bingo ,2014,Remote,Monthly Participation (multiple),0.27
Play bingo ,2014,Remote,Monthly Participation (once),0.46
Play bingo ,2015,Remote,Participated in the last 12 months,3.98
Play bingo ,2015,Remote,Weekly Participation (multiple),0.37
Play bingo ,2015,Remote,Weekly Participation (once),0.33
Play bingo ,2015,Remote,Monthly Participation (multiple),0.19
Play bingo ,2015,Remote,Monthly Participation (once),0.30
Play bingo ,2016,Remote,Participated in the last 12 months,4.28
Play bingo ,2016,Remote,Weekly Participation (multiple),0.37
Play bingo ,2016,Remote,Weekly Participation (once),0.33
Play bingo ,2016,Remote,Monthly Participation (multiple),0.23
Play bingo ,2016,Remote,Monthly Participation (once),0.41
Play bingo ,2017,Remote,Participated in the last 12 months,4.15
Play bingo ,2017,Remote,Weekly Participation (multiple),0.41
Play bingo ,2017,Remote,Weekly Participation (once),0.19
Play bingo ,2017,Remote,Monthly Participation (multiple),0.26
Play bingo ,2017,Remote,Monthly Participation (once),0.33
Play bingo ,2018,Remote,Participated in the last 12 months,4.47
Play bingo ,2018,Remote,Weekly Participation (multiple),0.39
Play bingo ,2018,Remote,Weekly Participation (once),0.40
Play bingo ,2018,Remote,Monthly Participation (multiple),0.25
Play bingo ,2018,Remote,Monthly Participation (once),0.26
Play cards ,2010,Local,Participated in the last 12 months,20.25
Play cards ,2010,Local,Weekly Participation (multiple),2.49
Play cards ,2010,Local,Weekly Participation (once),2.18
Play cards ,2010,Local,Monthly Participation (multiple),2.81
Play cards ,2010,Local,Monthly Participation (once),3.32
Play cards ,2011,Local,Participated in the last 12 months,18.55
Play cards ,2011,Local,Weekly Participation (multiple),2.05
Play cards ,2011,Local,Weekly Participation (once),1.97
Play cards ,2011,Local,Monthly Participation (multiple),2.96
Play cards ,2011,Local,Monthly Participation (once),2.83
Play cards ,2012,Local,Participated in the last 12 months,16.38
Play cards ,2012,Local,Weekly Participation (multiple),1.90
Play cards ,2012,Local,Weekly Participation (once),1.63
Play cards ,2012,Local,Monthly Participation (multiple),2.22
Play cards ,2012,Local,Monthly Participation (once),2.35
Play cards ,2013,Local,Participated in the last 12 months,15.06
Play cards ,2013,Local,Weekly Participation (multiple),1.74
Play cards ,2013,Local,Weekly Participation (once),1.53
Play cards ,2013,Local,Monthly Participation (multiple),2.10
Play cards ,2013,Local,Monthly Participation (once),2.26
Play cards ,2014,Local,Participated in the last 12 months,15.33
Play cards ,2014,Local,Weekly Participation (multiple),1.79
Play cards ,2014,Local,Weekly Participation (once),1.69
Play cards ,2014,Local,Monthly Participation (multiple),2.12
Play cards ,2014,Local,Monthly Participation (once),2.25
Play cards ,2015,Local,Participated in the last 12 months,15.32
Play cards ,2015,Local,Weekly Participation (multiple),1.66
Play cards ,2015,Local,Weekly Participation (once),1.57
Play cards ,2015,Local,Monthly Participation (multiple),1.94
Play cards ,2015,Local,Monthly Participation (once),2.65
Play cards ,2016,Local,Participated in the last 12 months,15.81
Play cards ,2016,Local,Weekly Participation (multiple),1.46
Play cards ,2016,Local,Weekly Participation (once),1.50
Play cards ,2016,Local,Monthly Participation (multiple),2.03
Play cards ,2016,Local,Monthly Participation (once),2.39
Play cards ,2017,Local,Participated in the last 12 months,16.89
Play cards ,2017,Local,Weekly Participation (multiple),1.57
Play cards ,2017,Local,Weekly Participation (once),1.42
Play cards ,2017,Local,Monthly Participation (multiple),2.41
Play cards ,2017,Local,Monthly Participation (once),2.57
Play cards ,2018,Local,Participated in the last 12 months,15.96
Play cards ,2018,Local,Weekly Participation (multiple),1.58
Play cards ,2018,Local,Weekly Participation (once),1.54
Play cards ,2018,Local,Monthly Participation (multiple),2.21
Play cards ,2018,Local,Monthly Participation (once),2.42
Play musical instrument ,2010,Local,Participated in the last 12 months,7.93
Play musical instrument ,2010,Local,Weekly Participation (multiple),3.26
Play musical instrument ,2010,Local,Weekly Participation (once),0.92
Play musical instrument ,2010,Local,Monthly Participation (multiple),0.86
Play musical instrument ,2010,Local,Monthly Participation (once),0.53
Play musical instrument ,2011,Local,Participated in the last 12 months,6.60
Play musical instrument ,2011,Local,Weekly Participation (multiple),2.38
Play musical instrument ,2011,Local,Weekly Participation (once),0.66
Play musical instrument ,2011,Local,Monthly Participation (multiple),0.82
Play musical instrument ,2011,Local,Monthly Participation (once),0.50
Play musical instrument ,2012,Local,Participated in the last 12 months,6.56
Play musical instrument ,2012,Local,Weekly Participation (multiple),2.34
Play musical instrument ,2012,Local,Weekly Participation (once),0.83
Play musical instrument ,2012,Local,Monthly Participation (multiple),0.51
Play musical instrument ,2012,Local,Monthly Participation (once),0.44
Play musical instrument ,2013,Local,Participated in the last 12 months,6.60
Play musical instrument ,2013,Local,Weekly Participation (multiple),2.27
Play musical instrument ,2013,Local,Weekly Participation (once),0.69
Play musical instrument ,2013,Local,Monthly Participation (multiple),0.68
Play musical instrument ,2013,Local,Monthly Participation (once),0.48
Play musical instrument ,2014,Local,Participated in the last 12 months,6.56
Play musical instrument ,2014,Local,Weekly Participation (multiple),2.32
Play musical instrument ,2014,Local,Weekly Participation (once),0.70
Play musical instrument ,2014,Local,Monthly Participation (multiple),0.58
Play musical instrument ,2014,Local,Monthly Participation (once),0.54
Play musical instrument ,2015,Local,Participated in the last 12 months,6.52
Play musical instrument ,2015,Local,Weekly Participation (multiple),2.34
Play musical instrument ,2015,Local,Weekly Participation (once),0.65
Play musical instrument ,2015,Local,Monthly Participation (multiple),0.65
Play musical instrument ,2015,Local,Monthly Participation (once),0.41
Play musical instrument ,2016,Local,Participated in the last 12 months,6.86
Play musical instrument ,2016,Local,Weekly Participation (multiple),2.25
Play musical instrument ,2016,Local,Weekly Participation (once),0.76
Play musical instrument ,2016,Local,Monthly Participation (multiple),0.76
Play musical instrument ,2016,Local,Monthly Participation (once),0.52
Play musical instrument ,2017,Local,Participated in the last 12 months,8.07
Play musical instrument ,2017,Local,Weekly Participation (multiple),2.61
Play musical instrument ,2017,Local,Weekly Participation (once),1.00
Play musical instrument ,2017,Local,Monthly Participation (multiple),0.73
Play musical instrument ,2017,Local,Monthly Participation (once),0.73
Play musical instrument ,2018,Local,Participated in the last 12 months,6.69
Play musical instrument ,2018,Local,Weekly Participation (multiple),2.44
Play musical instrument ,2018,Local,Weekly Participation (once),0.83
Play musical instrument ,2018,Local,Monthly Participation (multiple),0.56
Play musical instrument ,2018,Local,Monthly Participation (once),0.55
Reading books ,2010,Local,Participated in the last 12 months,37.94
Reading books ,2010,Local,Weekly Participation (multiple),20.82
Reading books ,2010,Local,Weekly Participation (once),3.64
Reading books ,2010,Local,Monthly Participation (multiple),3.29
Reading books ,2010,Local,Monthly Participation (once),2.77
Reading books ,2011,Local,Participated in the last 12 months,37.20
Reading books ,2011,Local,Weekly Participation (multiple),20.66
Reading books ,2011,Local,Weekly Participation (once),3.34
Reading books ,2011,Local,Monthly Participation (multiple),3.10
Reading books ,2011,Local,Monthly Participation (once),2.46
Reading books ,2012,Local,Participated in the last 12 months,34.65
Reading books ,2012,Local,Weekly Participation (multiple),19.32
Reading books ,2012,Local,Weekly Participation (once),2.80
Reading books ,2012,Local,Monthly Participation (multiple),2.83
Reading books ,2012,Local,Monthly Participation (once),2.19
Reading books ,2013,Local,Participated in the last 12 months,34.44
Reading books ,2013,Local,Weekly Participation (multiple),18.75
Reading books ,2013,Local,Weekly Participation (once),3.13
Reading books ,2013,Local,Monthly Participation (multiple),2.73
Reading books ,2013,Local,Monthly Participation (once),2.13
Reading books ,2014,Local,Participated in the last 12 months,33.93
Reading books ,2014,Local,Weekly Participation (multiple),18.64
Reading books ,2014,Local,Weekly Participation (once),2.91
Reading books ,2014,Local,Monthly Participation (multiple),2.81
Reading books ,2014,Local,Monthly Participation (once),2.34
Reading books ,2015,Local,Participated in the last 12 months,34.20
Reading books ,2015,Local,Weekly Participation (multiple),18.46
Reading books ,2015,Local,Weekly Participation (once),3.02
Reading books ,2015,Local,Monthly Participation (multiple),2.66
Reading books ,2015,Local,Monthly Participation (once),2.11
Reading books ,2016,Local,Participated in the last 12 months,33.89
Reading books ,2016,Local,Weekly Participation (multiple),17.71
Reading books ,2016,Local,Weekly Participation (once),3.15
Reading books ,2016,Local,Monthly Participation (multiple),2.98
Reading books ,2016,Local,Monthly Participation (once),2.33
Reading books ,2017,Local,Participated in the last 12 months,32.28
Reading books ,2017,Local,Weekly Participation (multiple),16.79
Reading books ,2017,Local,Weekly Participation (once),2.90
Reading books ,2017,Local,Monthly Participation (multiple),2.78
Reading books ,2017,Local,Monthly Participation (once),2.10
Reading books ,2018,Local,Participated in the last 12 months,31.05
Reading books ,2018,Local,Weekly Participation (multiple),16.53
Reading books ,2018,Local,Weekly Participation (once),2.89
Reading books ,2018,Local,Monthly Participation (multiple),2.66
Reading books ,2018,Local,Monthly Participation (once),2.05
Reading comic books,2010,Local,Participated in the last 12 months,2.44
Reading comic books,2010,Local,Weekly Participation (multiple),0.51
Reading comic books,2010,Local,Weekly Participation (once),0.28
Reading comic books,2010,Local,Monthly Participation (multiple),0.39
Reading comic books,2010,Local,Monthly Participation (once),0.23
Reading comic books,2011,Local,Participated in the last 12 months,2.22
Reading comic books,2011,Local,Weekly Participation (multiple),0.47
Reading comic books,2011,Local,Weekly Participation (once),0.15
Reading comic books,2011,Local,Monthly Participation (multiple),0.22
Reading comic books,2011,Local,Monthly Participation (once),0.27
Reading comic books,2012,Local,Participated in the last 12 months,2.49
Reading comic books,2012,Local,Weekly Participation (multiple),0.47
Reading comic books,2012,Local,Weekly Participation (once),0.21
Reading comic books,2012,Local,Monthly Participation (multiple),0.28
Reading comic books,2012,Local,Monthly Participation (once),0.20
Reading comic books,2013,Local,Participated in the last 12 months,2.53
Reading comic books,2013,Local,Weekly Participation (multiple),0.57
Reading comic books,2013,Local,Weekly Participation (once),0.18
Reading comic books,2013,Local,Monthly Participation (multiple),0.24
Reading comic books,2013,Local,Monthly Participation (once),0.17
Reading comic books,2014,Local,Participated in the last 12 months,2.83
Reading comic books,2014,Local,Weekly Participation (multiple),0.59
Reading comic books,2014,Local,Weekly Participation (once),0.25
Reading comic books,2014,Local,Monthly Participation (multiple),0.28
Reading comic books,2014,Local,Monthly Participation (once),0.26
Reading comic books,2015,Local,Participated in the last 12 months,2.67
Reading comic books,2015,Local,Weekly Participation (multiple),0.58
Reading comic books,2015,Local,Weekly Participation (once),0.25
Reading comic books,2015,Local,Monthly Participation (multiple),0.26
Reading comic books,2015,Local,Monthly Participation (once),0.20
Reading comic books,2016,Local,Participated in the last 12 months,2.71
Reading comic books,2016,Local,Weekly Participation (multiple),0.65
Reading comic books,2016,Local,Weekly Participation (once),0.28
Reading comic books,2016,Local,Monthly Participation (multiple),0.24
Reading comic books,2016,Local,Monthly Participation (once),0.27
Reading comic books,2017,Local,Participated in the last 12 months,2.89
Reading comic books,2017,Local,Weekly Participation (multiple),0.70
Reading comic books,2017,Local,Weekly Participation (once),0.29
Reading comic books,2017,Local,Monthly Participation (multiple),0.24
Reading comic books,2017,Local,Monthly Participation (once),0.26
Reading comic books,2018,Local,Participated in the last 12 months,2.91
Reading comic books,2018,Local,Weekly Participation (multiple),0.79
Reading comic books,2018,Local,Weekly Participation (once),0.26
Reading comic books,2018,Local,Monthly Participation (multiple),0.21
Reading comic books,2018,Local,Monthly Participation (once),0.32
Sudoku puzzles,2010,Local,Participated in the last 12 months,11.63
Sudoku puzzles,2010,Local,Weekly Participation (multiple),4.50
Sudoku puzzles,2010,Local,Weekly Participation (once),1.10
Sudoku puzzles,2010,Local,Monthly Participation (multiple),1.38
Sudoku puzzles,2010,Local,Monthly Participation (once),1.09
Sudoku puzzles,2011,Local,Participated in the last 12 months,11.05
Sudoku puzzles,2011,Local,Weekly Participation (multiple),3.94
Sudoku puzzles,2011,Local,Weekly Participation (once),1.28
Sudoku puzzles,2011,Local,Monthly Participation (multiple),1.32
Sudoku puzzles,2011,Local,Monthly Participation (once),1.16
Sudoku puzzles,2012,Local,Participated in the last 12 months,10.64
Sudoku puzzles,2012,Local,Weekly Participation (multiple),3.92
Sudoku puzzles,2012,Local,Weekly Participation (once),1.04
Sudoku puzzles,2012,Local,Monthly Participation (multiple),1.34
Sudoku puzzles,2012,Local,Monthly Participation (once),0.87
Sudoku puzzles,2013,Local,Participated in the last 12 months,9.47
Sudoku puzzles,2013,Local,Weekly Participation (multiple),3.36
Sudoku puzzles,2013,Local,Weekly Participation (once),1.18
Sudoku puzzles,2013,Local,Monthly Participation (multiple),1.11
Sudoku puzzles,2013,Local,Monthly Participation (once),1.02
Sudoku puzzles,2014,Local,Participated in the last 12 months,9.51
Sudoku puzzles,2014,Local,Weekly Participation (multiple),3.11
Sudoku puzzles,2014,Local,Weekly Participation (once),1.11
Sudoku puzzles,2014,Local,Monthly Participation (multiple),0.90
Sudoku puzzles,2014,Local,Monthly Participation (once),0.83
Sudoku puzzles,2015,Local,Participated in the last 12 months,8.41
Sudoku puzzles,2015,Local,Weekly Participation (multiple),3.18
Sudoku puzzles,2015,Local,Weekly Participation (once),0.78
Sudoku puzzles,2015,Local,Monthly Participation (multiple),0.83
Sudoku puzzles,2015,Local,Monthly Participation (once),0.88
Sudoku puzzles,2016,Local,Participated in the last 12 months,7.64
Sudoku puzzles,2016,Local,Weekly Participation (multiple),2.67
Sudoku puzzles,2016,Local,Weekly Participation (once),0.94
Sudoku puzzles,2016,Local,Monthly Participation (multiple),0.79
Sudoku puzzles,2016,Local,Monthly Participation (once),0.54
Sudoku puzzles,2017,Local,Participated in the last 12 months,7.69
Sudoku puzzles,2017,Local,Weekly Participation (multiple),2.89
Sudoku puzzles,2017,Local,Weekly Participation (once),0.75
Sudoku puzzles,2017,Local,Monthly Participation (multiple),0.94
Sudoku puzzles,2017,Local,Monthly Participation (once),0.66
Sudoku puzzles,2018,Local,Participated in the last 12 months,8.30
Sudoku puzzles,2018,Local,Weekly Participation (multiple),2.91
Sudoku puzzles,2018,Local,Weekly Participation (once),0.80
Sudoku puzzles,2018,Local,Monthly Participation (multiple),0.79
Sudoku puzzles,2018,Local,Monthly Participation (once),0.72
Tailgating,2010,Remote,Participated in the last 12 months,
Tailgating,2010,Remote,Weekly Participation (multiple),
Tailgating,2010,Remote,Weekly Participation (once),
Tailgating,2010,Remote,Monthly Participation (multiple),
Tailgating,2010,Remote,Monthly Participation (once),
Tailgating,2011,Remote,Participated in the last 12 months,
Tailgating,2011,Remote,Weekly Participation (multiple),
Tailgating,2011,Remote,Weekly Participation (once),
Tailgating,2011,Remote,Monthly Participation (multiple),
Tailgating,2011,Remote,Monthly Participation (once),
Tailgating,2012,Remote,Participated in the last 12 months,
Tailgating,2012,Remote,Weekly Participation (multiple),
Tailgating,2012,Remote,Weekly Participation (once),
Tailgating,2012,Remote,Monthly Participation (multiple),
Tailgating,2012,Remote,Monthly Participation (once),
Tailgating,2013,Remote,Participated in the last 12 months,
Tailgating,2013,Remote,Weekly Participation (multiple),
Tailgating,2013,Remote,Weekly Participation (once),
Tailgating,2013,Remote,Monthly Participation (multiple),
Tailgating,2013,Remote,Monthly Participation (once),
Tailgating,2014,Remote,Participated in the last 12 months,
Tailgating,2014,Remote,Weekly Participation (multiple),
Tailgating,2014,Remote,Weekly Participation (once),
Tailgating,2014,Remote,Monthly Participation (multiple),
Tailgating,2014,Remote,Monthly Participation (once),
Tailgating,2015,Remote,Participated in the last 12 months,
Tailgating,2015,Remote,Weekly Participation (multiple),
Tailgating,2015,Remote,Weekly Participation (once),
Tailgating,2015,Remote,Monthly Participation (multiple),
Tailgating,2015,Remote,Monthly Participation (once),
Tailgating,2016,Remote,Participated in the last 12 months,4.30
Tailgating,2016,Remote,Weekly Participation (multiple),0.09
Tailgating,2016,Remote,Weekly Participation (once),0.22
Tailgating,2016,Remote,Monthly Participation (multiple),0.28
Tailgating,2016,Remote,Monthly Participation (once),0.42
Tailgating,2017,Remote,Participated in the last 12 months,4.36
Tailgating,2017,Remote,Weekly Participation (multiple),0.10
Tailgating,2017,Remote,Weekly Participation (once),0.07
Tailgating,2017,Remote,Monthly Participation (multiple),0.24
Tailgating,2017,Remote,Monthly Participation (once),0.31
Tailgating,2018,Remote,Participated in the last 12 months,3.83
Tailgating,2018,Remote,Weekly Participation (multiple),0.08
Tailgating,2018,Remote,Weekly Participation (once),0.04
Tailgating,2018,Remote,Monthly Participation (multiple),0.11
Tailgating,2018,Remote,Monthly Participation (once),0.25
Trivia games ,2010,Local,Participated in the last 12 months,5.20
Trivia games ,2010,Local,Weekly Participation (multiple),0.83
Trivia games ,2010,Local,Weekly Participation (once),0.58
Trivia games ,2010,Local,Monthly Participation (multiple),0.61
Trivia games ,2010,Local,Monthly Participation (once),0.65
Trivia games ,2011,Local,Participated in the last 12 months,5.10
Trivia games ,2011,Local,Weekly Participation (multiple),1.01
Trivia games ,2011,Local,Weekly Participation (once),0.46
Trivia games ,2011,Local,Monthly Participation (multiple),0.54
Trivia games ,2011,Local,Monthly Participation (once),0.71
Trivia games ,2012,Local,Participated in the last 12 months,4.74
